type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
บช,ลำปาง,งาว,บ้านร้อง,8,200,136,8,0,56
บช,ลำปาง,งาว,บ้านร้อง,9,400,193,24,6,177
บช,ลำปาง,งาว,บ้านหวด,1,340,226,4,4,106
บช,ลำปาง,งาว,บ้านหวด,2,540,301,28,5,206
บช,ลำปาง,งาว,บ้านหวด,3,620,327,31,3,259
บช,ลำปาง,งาว,บ้านหวด,4,580,298,25,10,247
บช,ลำปาง,งาว,บ้านหวด,5,760,398,44,14,304
บช,ลำปาง,งาว,บ้านหวด,6,480,279,33,12,156
บช,ลำปาง,งาว,บ้านหวด,7,340,205,13,8,114
บช,ลำปาง,งาว,บ้านอ้อน,1,440,285,7,9,139
บช,ลำปาง,งาว,บ้านอ้อน,2,600,385,31,7,177
บช,ลำปาง,งาว,บ้านอ้อน,3,560,370,12,9,169
บช,ลำปาง,งาว,บ้านอ้อน,4,500,325,17,5,153
บช,ลำปาง,งาว,บ้านอ้อน,5,400,162,29,5,204
บช,ลำปาง,งาว,บ้านอ้อน,6,420,262,29,4,125
บช,ลำปาง,งาว,บ้านอ้อน,7,360,221,12,7,120
บช,ลำปาง,งาว,บ้านอ้อน,8,160,103,9,0,48
บช,ลำปาง,งาว,บ้านแหง,1,660,392,36,12,220
บช,ลำปาง,งาว,บ้านแหง,2,460,333,19,6,102
บช,ลำปาง,งาว,บ้านแหง,3,700,482,34,8,176
บช,ลำปาง,งาว,บ้านแหง,4,520,344,47,15,114
บช,ลำปาง,งาว,บ้านแหง,5,500,330,30,9,131
บช,ลำปาง,งาว,บ้านแหง,6,500,309,41,5,145
บช,ลำปาง,งาว,บ้านแหง,7,260,190,4,4,62
บช,ลำปาง,งาว,บ้านแหง,8,540,319,28,10,183
บช,ลำปาง,งาว,บ้านแหง,9,640,403,36,7,194
บช,ลำปาง,งาว,หลวงเหนือ,1,380,245,21,0,114
บช,ลำปาง,งาว,หลวงเหนือ,2,440,274,12,22,132
บช,ลำปาง,งาว,หลวงเหนือ,3,560,321,24,12,203
บช,ลำปาง,งาว,หลวงเหนือ,4,500,292,7,17,184
บช,ลำปาง,งาว,หลวงเหนือ,5,540,326,16,19,179
บช,ลำปาง,งาว,หลวงเหนือ,6,560,339,20,18,183
บช,ลำปาง,งาว,หลวงเหนือ,7,240,150,12,6,72
บช,ลำปาง,งาว,หลวงใต้,1,600,373,26,7,194
บช,ลำปาง,งาว,หลวงใต้,2,740,419,28,15,278
บช,ลำปาง,งาว,หลวงใต้,3,480,328,12,11,129
บช,ลำปาง,งาว,หลวงใต้,4,320,210,6,7,97
บช,ลำปาง,งาว,หลวงใต้,5,580,343,40,5,192
บช,ลำปาง,งาว,หลวงใต้,6,760,459,14,8,279
บช,ลำปาง,งาว,หลวงใต้,7,340,224,14,1,101
บช,ลำปาง,งาว,หลวงใต้,8,420,276,24,5,115
บช,ลำปาง,งาว,แม่ตีบ,1,460,261,22,7,170
บช,ลำปาง,งาว,แม่ตีบ,2,480,320,19,3,138
บช,ลำปาง,งาว,แม่ตีบ,3,440,278,16,13,133
บช,ลำปาง,งาว,แม่ตีบ,4,500,336,17,11,136
บช,ลำปาง,งาว,แม่ตีบ,5,520,326,12,6,176
บช,ลำปาง,งาว,แม่ตีบ,6,660,495,30,10,125
บช,ลำปาง,งาว,แม่ตีบ,7,320,207,11,8,94
